"","Rank","Title","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"X1","1","2","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"X2"," Breaking Bad"," Planet Earth II"," The Wire"," Avatar: The Last Airbender"," Blue Planet II"," The Sopranos"," Cosmos: A Spacetime Odyssey"," Cosmos"," Our Planet"," Game of Thrones"," The World at War"," Rick and Morty"," Bluey"," Fullmetal Alchemist Brotherhood"," The Last Dance"," Life"," The Twilight Zone"," Sherlock"," The Vietnam War"," Batman: The Animated Series"," Attack on Titan"," Scam 1992: The Harshad Mehta Story"," The Office"," Arcane"," The Blue Planet"," Better Call Saul"," Human Planet"," Firefly"," Frozen Planet"," Clarkson's Farm"," Death Note"," Only Fools and Horses"," Hunter x Hunter"," The Civil War"," True Detective"," Seinfeld"," The Beatles: Get Back"," Dekalog"," Sahsiyet"," Fargo"," Cowboy Bebop"," Gravity Falls"," Nathan for You"," Last Week Tonight with John Oliver"," When They See Us"," Succession"," Apocalypse: La 2ème guerre mondiale"
"X3","1","2","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"X4"," Breaking Bad"," Planet Earth II"," The Wire"," Avatar: The Last Airbender"," Blue Planet II"," The Sopranos"," Cosmos: A Spacetime Odyssey"," Cosmos"," Our Planet"," Game of Thrones"," The World at War"," Rick and Morty"," Bluey"," Fullmetal Alchemist Brotherhood"," The Last Dance"," Life"," The Twilight Zone"," Sherlock"," The Vietnam War"," Batman: The Animated Series"," Attack on Titan"," Scam 1992: The Harshad Mehta Story"," The Office"," Arcane"," The Blue Planet"," Better Call Saul"," Human Planet"," Firefly"," Frozen Planet"," Clarkson's Farm"," Death Note",""," Hunter x Hunter"," The Civil War"," True Detective"," Seinfeld"," The Beatles: Get Back"," Dekalog"," Sahsiyet"," Fargo"," Cowboy Bebop"," Gravity Falls"," Nathan for You"," Last Week Tonight with John Oliver"," When They See Us"," Succession"," Apocalypse: La 2ème guerre mondiale"
"X5","1","2","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
